SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,,
sift,LSH_APG_ORIG,100,24,80,200,-1,10.1171,9.72751,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,12.156,10.5441,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,10.0685,10.6976,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,9.955,9.68197,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,10.0851,10.5707,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,11.3987,10.753,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,10.1015,10.208,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,11.7569,9.63409,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,10.4915,12.692,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,10.587,9.4238,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,9.51869,9.61667,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,10.1231,10.3659,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,7.23813,7.33857,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,9.64162,9.65482,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,9.96622,8.9447,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,9.57059,7.88673,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,12.2158,10.8991,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,11.0832,9.81727,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,11.5576,8.47409,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,11.993,8.33754,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,10.1949,8.19546,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,9.10408,9.29683,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,7.62224,7.58895,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,8.61672,7.11353,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,8.66502,9.37763,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,8.3566,9.34272,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,7.11179,9.16579,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,8.36115,8.24463,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,8.38602,8.96193,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,9.53207,9.60255,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,10,24,80,200,-1,9.34876,9.78307,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,10,24,80,200,-1,9.99145,10.0943,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,20,24,80,200,-1,9.46304,9.44828,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,20,24,80,200,-1,10.2197,9.58742,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,10.5025,10.3213,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,9.80123,9.62222,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,10.0688,10.515,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,10.2813,11.947,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,50,24,80,200,-1,10.2195,9.84305,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,50,24,80,200,-1,10.6024,10.1358,-1,-1,-1,-1,,
sift,LSH_APG_ORIG,100,24,80,200,-1,9.83822,9.61965,-1,-1,-1,-1,,
sift,LIGS_PSEUDO,100,24,80,200,-1,10.9548,9.29,-1,-1,-1,-1,,
SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,MaxRecall,MaxRecallEf
sift,DAPG,1,24,80,200,110.277,0.90128,0.08765,0.31635,0.4153,0.50694,0.63504,0.97,81
sift,PSEUDO_DAPG,1,24,80,200,110.277,0.87107,0.041755,0.29396,0.35807,0.43394,0.5033,0.97,81
sift,LIGA_COL,1,24,80,200,110.277,0.82921,0.02814,,,,,0.38,1561
sift,LSHAPG_BASE,1,24,80,200,123.593,,,0.3683,0.46894,0.63838,0.63838,0.97,81
SolmazDataset,SolmazMethod,k,T,efC,UpdateCount,IndexingTime_s,InsertAvg_ms,DeleteAvg_ms,SearchRt0p8_ms,SearchRt0p9_ms,SearchRt0p95_ms,SearchRt0p97_ms,MaxRecall,MaxRecallEf
sift,DAPG,10,24,80,200,110.277,0.79475,0.09369,0.28819,0.35686,0.44048,0.59326,0.972,110
