recall,search_OPS,delete_OPS,insert_OPS
0.96971,474969,19844.4,32347.8
0.97054,531067,23840.7,31682.7
0.97072,531406,23572.1,32658.4
0.97109,502235,21972.7,32258.1
0.97145,529577,22961.6,24696.2
